rank,name,slug,homepage,feed_url,platform,products_seen,ships_internationally,image_quality,image_px,currency,city,category,vibe,feed_verified,image_url,shipping_evidence,notes
1,Feeya,feeya,https://feeya.ae,https://feeya.ae/products.json,shopify,46,yes,excellent,4000x6000,AED,Dubai,Abayas & kaftans,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0770/1944/7602/files/CDEE4710-C755-46F9-BF6E-7108B94DC0FF.jpg?v=1784373934,https://feeya.ae/pages/returns-policy (/policies/shipping-policy exists but its body is empty) — “Shipping & Delivery — UAE Orders • Estimated delivery within 5–8 business days… International Orders • Estimated delivery within 8–15 business days… Customers are responsible for any applicable customs duties or import taxes.”,"RANK 3/61 — the highest median primary resolution in the round, a clean feed and confirmed international shipping; ranked below Illi only on catalogue size. 46 SKUs is small but tightly edited, which is a curation-density plus. INGEST FLAG: all product_type fields are blank and titles are colourway-family names (Aura - Butter yellow, Serra in Grey) carrying no garment noun, so expect a meaningful share to land in data/review.json — pre-seed tags or accept manual classification for 46 rows. AED 550 median (250–1,280), the most accessible of the Gulf accepts but well clear of fast fashion. Soft-"
2,Illi Studio,illi-studio,https://illistudio.com,https://illistudio.com/products.json,shopify,164,yes,excellent,3938x5906,AED,Dubai,Abayas,maximalist,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0532/3643/3048/files/Illi12__full___1.jpg?v=1747465454,https://illistudio.com/policies/shipping-policy — “International Shipping — We offer international shipping worldwide. Shipping charges for your order will be calculated and displayed at checkout.” Ships DHL with tracking.,"RANK 1/61 — top photography in the round on every measure, a clean 200 feed, explicit worldwide shipping and a zero-contamination catalogue: it wins on all three weighted criteria at once. 164 products, all women's (Abaya 98, Jalabiya 2, 64 blank product_type — those will lean on title/tags and some will land in review.json). AED 1,450 median (800–2,000), designer tier. Named pieces (DIL, Tones in Beige) not SKU codes. Tagged maximalist because the gradient/ombré satins in lilac, sky and ochre genuinely differentiate against a black-and-neutral catalogue. Zero non-apparel, zero immodesty flags"
3,Headed Somewear,headed-somewear,https://headedsomewear.com,https://headedsomewear.com/products.json,shopify,>=30,yes,excellent,3456x5184,USD,United States,Hijabs,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/1143/6294/products/TerracottaNew_3.jpg?v=1679018594,"https://headedsomewear.com/pages/faq — “Yes, we now ship worldwide! Please note, any custom fees, taxes, or import duties are the responsibility of the customer.” The single clearest worldwide-shipping statement of its batch. NOTE: /policies/shipping-policy renders an EMPTY shipping policy (heading only) — the FAQ is the only source.","RANK 24/61 — excellent 3456x5184 photography and the clearest worldwide shipping statement of its batch, but two things keep it out of the upper half. (1) PRICE POINT: median first-variant price is $9.99 with a $39 max — a scarf/accessory label, inherently cheap, but it sits below the aspirational bracket the directory targets. Judge against existing hijab brands (Haute Hijab, Vela) before committing. (2) UNRESOLVED, FLAGGING RATHER THAN GUESSING: 13 of 45 SKUs (29%) carry vendor=“thathijabi” rather than “Headed Somewear” — either a rebrand leaving a stale vendor field (benign) or reselling an"
4,Amariah,amariah,https://amariah.co.uk,https://amariah.co.uk/products.json,shopify,106,yes,excellent,3574x5004,GBP,United Kingdom (city not stated; orders are fulfilled from the United States — see notes),Modest dresses & abaya sets,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0475/4640/0921/files/6-30-103111695.jpg?v=1783447596,"https://amariah.co.uk/pages/shipping — “International shipping is DHL, 6-10 days to most locations.” and “Customs, duties or any tax fees are already added for all international orders. There will be no additional fees.” Same page: “Every order ships from United States and will be processed in 1-3 business days.” (/policies/shipping-policy exists but its body is empty.)","RANK 5/61 — median 3454px on a 106-SKU feed plus the single best consumer shipping proposition in the round (duties prepaid, no surprise fees at the door). TWO CORRECTIONS TO THE SOURCE. (1) Fulfilment is US-based, not UK — the shipping page says orders ship from the United States and the banner reads “FREE US SHIPPING ON ORDERS $125+”; the .co.uk domain is a storefront, not a warehouse. (2) Currency was nearly recorded as USD — the homepage config shows Shopify.currency active GBP with rate 0.74861099, which normally implies a USD base. Verified directly instead: the feed's first variant for "
5,MINAZ,minaz,https://minaz.com.my,https://minaz.com.my/products.json,shopify,>=30,yes,excellent,3300x4800,MYR,Kuala Lumpur,Jalabiyas & abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0710/3663/3385/files/Arisha-Abaya-Blue-White-Web_ab8ed6ea-1239-4401-a785-8ff518a91bee.jpg?v=1786089283,"https://minaz.com.my/policies/shipping-policy — “We charge based on Pos Laju International postage fees.” The policy describes offering “domestic and international delivery services”. Couriers: Pos Laju International (overseas), J&T Express (domestic). No named destination countries. Verified on two independent reads.","RANK 9/61 — 3300x4800 confirmed by download is among the highest verified resolution in the round, with real international shipping; ranked here rather than higher because the catalogue size could not be verified at all. TWO INGEST WARNINGS. (1) The SECOND image on products is a size chart (Measurement_Arisha_Jalabiya.jpg, 2000x2500, PORTRAIT) — the exact §10.11 landmine, but safe here because every image in the feed is portrait so portrait is dominant and pickImage() correctly takes image 1. Do not let a future tweak to that heuristic regress this. (2) product_type is set to “Hijab” on garmen"
6,Ellem Atelier,ellem-atelier,https://www.ellematelier.com,https://www.ellematelier.com/products.json,shopify,23,yes,excellent,2994x3742,SEK,Sweden — site banner reads “From Sweden with style”; no city stated (not verified),Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0920/0487/6631/files/LG8_2604.jpg?v=1785949103,"https://www.ellematelier.com/policies/shipping-policy — “We ship with tracked delivery via DSV and DPD/PostNord… Expected delivery after shipping — Sweden: 1-3 working days · Other EU countries: 2-7 working days · Worldwide outside EU: 5-12 working days.” An explicit worldwide tier. Multi-currency selector confirms (SEK, EUR, CZK, DKK, HUF, PLN, RON, GBP).","RANK 12/61 — the highest single measurement in the round (4426x5532) on a clean 200 feed with an explicit worldwide tier; the only thing holding it back is volume. Only 23 SKUs live, so it will contribute few rows. 499–1,199 SEK. Zero men's, kids or non-apparel in the entire feed; nav is Dresses / All abayas / Premium Dubai Abayas / Every day abayas — unambiguously women's modest. A small but genuinely aspirational Nordic add; pair with Modest & Timeless to make a Scandinavian section worth having."
7,Almotahajiba,almotahajiba,https://www.almotahajiba.com,https://www.almotahajiba.com/products.json,shopify,>=250,yes,excellent,2679x3349,QAR,Doha,Abayas & jalabiyas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0931/9376/5139/files/A5379_2.jpg?v=1785143419,"https://www.almotahajiba.com/pages/terms-and-conditions (/policies/shipping-policy returns 404 and no shipping page exists among the store's 8 pages), section 9 — “The Company shall arrange for the shipment of orders on a daily basis through its designated logistics partners, namely Aramex and DHL. All delivery timelines are subject to the policies of these carriers as well as customs clearance procedures… Customs duties, taxes, and other charges arising from international shipments shall be borne solely by the customer.” Classified 'yes' on the explicit reference to international shipments pl","RANK 15/61 — the Qatar anchor, founded 1982, the most established house in the round, and the merchandising is genuinely editorial (Delicate Trace, Quiet Radiance, Structured Calm, Golden Haze read like a lookbook, confirming a real creative team). 250 products: Abaya 187, JALABIYAS 18, CO-ORDS SET 10, SHEILAS 10, DRESS 2, Liberty 1, 22 blank. PIPELINE: (a) the 10 SHEILAS rows are headscarves → hijab lane only; (b) 2 rows trip a non-apparel keyword — Jewel Fern and Stone Jewel — but on inspection these are colourway names on garments, NOT jewellery, so do NOT blanket-exclude on “jewel” (exactl"
8,Nihan,nihan,https://nihan.com.tr,https://nihan.com.tr/products.json,shopify,>=30,yes,excellent,2400x3600,TRY,Turkey,Modest,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0948/2865/9051/files/lyocell-vintage-gomlek-tunik-siyah-271839.jpg?v=1786108223,"EVIDENCE IS STRUCTURAL, NOT A PROSE QUOTE — flagging that honestly. The homepage exposes 4 Shopify Markets localization forms offering 237 country options, plus an /en storefront (hreflang en). But the written policy at https://nihan.com.tr/en/policies/shipping-policy is domestic only: “3.000 TL ve üzeri siparişlerde Türkiye içi kargo ücretsizdir… Siparişleriniz HepsiJet Kargo aracılığıyla teslim edilir.” No international clause, rate or carrier is stated anywhere (/policies/shipping-policy, /en/policies/shipping-policy, /policies/terms-of-service checked; /pages/sss and /pages/kargo-ve-teslim","RANK 13/61 — the highest-resolution Turkish feed (median 2400x3600) with 2000+ products and 81% core apparel, the best apparel ratio measured. FLAG: checkout is open to 237 markets but the brand has published NO international shipping terms — confirm before launch. Page-1 breakdown (250): Tunik 43, Takım 36, Şal 31, Gömlek 26, Abiye 18, Etek 17, Elbise 15, Pantolon 15, Ceket 12, Eşarp 11, Bluz 7, Çanta 5, Kimono 5, Yelek 4, İpek Şal 2, Trençkot 1. The 44 Şal + Eşarp + İpek Şal rows feed the hijab lane directly. Only 5 canvas totes to veto, 2 genuine crop tops. Median core price 2,500 TRY (~USD"
9,BAQA,baqa,https://baqaofficial.com,https://baqaofficial.com/products.json,shopify,>=30,yes,excellent,1920x2560,TRY,Istanbul,Modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0727/5855/8971/files/1_80533f0a-4e6b-46cb-bdd0-49412861ba24.jpg?v=1759302955,"https://baqaofficial.com/policies/shipping-policy — “Select your country. Your currently selected location is the Türkiye and your order will be billed in TRY.” / “The delivery methods, conditions of sale and delivery points will be updated when you change the country.” / “Kargolarınız Aras Kargo / Yurtiçi Kargo / DHL / Aremex güvencesi ile…” / “Yurt Dışı Gönderimlerinde Teslim Süresi Değişim Gösterebilmketedir.” (international delivery times may vary). Corroborated on the homepage: 2 Shopify Markets localization forms exposing 237 country options, plus an /en storefront.","RANK 25/61 — best-measured photography of the Turkish set and genuinely luxury pricing, but ranked here because it is NOT a modest label and needs a bounded exclusion set before publishing. TWO CORRECTIONS TO SOURCE. (1) Price: brief said ~7,350 TRY; actual median core-apparel price is 14,838 TRY (~USD 362), roughly double — more aspirational than claimed. (2) “Reads modest by default” is FALSE, verified visually: product #120 “Nakış Detaylı Beyaz Keten Pantolon” is a strapless bandeau crop top with bare midriff over sheer linen trousers; dress #60 “Kayık Yaka Kolye Detaylı Elbise” (29,500 TRY"
10,Abaya Lounge,abaya-lounge,https://abayalounge.com,https://abayalounge.com/products.json,shopify,249,yes,excellent,1800x2600,GBP,"United Kingdom (office + warehouse; production in the UAE). Abaya Lounge LTD, company no. 15992403",Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0510/0293/3398/files/Black-Maternity-Abaya-with-Pockets-4.jpg?v=1770216021,"https://abayalounge.com/policies/shipping-policy — US via FedEx, Canada via FedEx & DPD, and “For all other countries, we charge a flat fee of £40.00 and we ship with the most suitable and reliable courier for that specific country.” Caveat from the same page: “we may request you for additional payment via email if the delivery cost to your country is higher than anticipated. If the payment cannot be made then unfortunately we will have to cancel your order and issue a full refund.”","RANK 6/61 — the cleanest and most uniform grid material in the round after Malikaat; a page of these will look like one shoot. Founded 2022, UK-based, UAE production. FLAG: £40 flat rest-of-world is steep and the policy reserves the right to revise it upward after the order — worth surfacing to users. CURATION: 83 of 249 are product_type “Hijab”, so per Invariant 5 the bulk of this brand belongs on the hijab lane; the everyday-clothing contribution is closer to 155 dresses/abayas. Zero menswear, kidswear or non-apparel in the first 249."
